Wavelength,Intensity
370.11,0.006
383.297,0.006
397.363,0.009
408.791,0.019
417.582,0.048
423.736,0.087
430.824,0.147
433.726,0.197
435.385,0.229
436.628,0.257
437.872,0.298
439.392,0.334
440.36,0.372
441.189,0.406
442.018,0.439
444.835,0.511
447.473,0.56
450.989,0.506
451.968,0.456
452.797,0.429
454.041,0.392
455.699,0.355
457.772,0.327
460.674,0.297
463.162,0.268
465.649,0.235
468.551,0.203
474.77,0.18
482.233,0.195
487.208,0.225
490.939,0.255
494.256,0.286
497.158,0.311
501.511,0.348
516.229,0.456
522.033,0.487
527.837,0.514
534.056,0.539
543.591,0.585
548.566,0.613
552.712,0.641
556.444,0.667
559.76,0.695
562.662,0.72
565.979,0.749
572.198,0.815
575.514,0.846
578.417,0.876
581.319,0.905
584.635,0.932
588.781,0.963
593.342,0.987
607.645,0.987
613.242,0.957
616.973,0.931
620.29,0.902
623.192,0.871
625.679,0.842
628.167,0.815
630.654,0.786
633.142,0.756
635.629,0.724
638.117,0.693
640.604,0.661
643.092,0.631
645.579,0.599
648.067,0.567
650.554,0.535
653.042,0.506
655.529,0.477
658.017,0.448
660.504,0.422
663.407,0.391
666.723,0.359
670.04,0.329
673.357,0.301
677.088,0.272
681.234,0.243
685.38,0.216
689.94,0.19
695.33,0.162
701.845,0.134
709.011,0.109
717.717,0.084
726.838,0.065
735.959,0.05
742.758,0.042
750.884,0.034
775.385,0.016
797.363,0.009
